file_name|transcription
0094552cf0d521e64b0b727c263c605a399ef31b181b97e491dfa76fd7f88e17cd2bb9dac483ffe41ca47e48975c5bf22d9b0294474724259c8f286b6ef8aa03|Did you know that Harry got a new job?
053af6f3302ebde48903ef52470134fa4619741d2aee65fc7533cd106cde1aa33c0434119aca288009286a22b2f396207035ea12189e089812f259f4c62324ad|Easy come, easy go.
00c02bda72fd0f8f71380e69e8dba21289f980c7ad1a54f776c94c26cbcf4e7e4c1749680cab7f7e19c6dbe0b5ddf2e94042e4b3a8bf0bf6deada1ffd72c5058|Mr. Lee can't be bothered now.
059c19130d989947f575b3b92481269b5125da9107e7a9459181b2ea7f1031acfa517725ff943389dbaed2a8dc306c93f562e0a4c7aea5f580cbfecdf556ab77|How do you suppose Ken got that gun?
02ff150837b5b4f19a426dbdd5bbf58a995caf6b3367b337c6896cccd2b6b66b3165fd24bc8be184926e768fd0dcafb12adae4d6906981e35f5004ce21fa9a27|What does it all mean?
000948bbca46377ba9cf2d3be56a95926e7eb35bc17317dea7e5a7fdae57556a005fa88f1f28c4a3ac3c8ff2cd21a9a5cf96825d0a6059c0b5631f6afafe6f00|A woman is cleaning a pool with a net while a man watches.
0064d54a81de966aa3db1a7978f830fccb47fa1b05667c06691c924e2c633409627634672d399ff01212637c5b6e9b2a25adfa8405c0f7eb105a4dd2003851d2|The structure chattered throughout the earthquake.
01b054bff628cf89ec8b33e89ce744e0dad48d3efd9769f4db09f69a86a1d0ad949861247a7ade4d03b602fb6cf3d668a712bd852cb6d821d34eb463bffec2d1|For at that time, it had not occurred to him that it might be hollow.
0493eda5ce8fbe1178ca7b6f9117a754c89527ef1834947c6cea98a738751ec47484cebcd99824ccdd63a418609133985410f24f46f7eebf8517f9255c9cd88d|The owner of the dwelling was not amused.
02b5ef9938d49bcf79a8a8908ad8b8af7a3b693db76e5c591f1d696a167f2fedd1a51b190f9674cf02c831255b0112a60750d304ed39540c47b013716b1300ef|Come on in the office here.
02af06bd7e445a5c99948e1808221abd120ce13ae56d20af078aa582017be43d5097bc3e5a03e7e6f42656e6fa24ce2c9d09ae0c4092af7315b896e2932c516f|Have you ever been to Singapore?
04818bec824847e059be19d302758d8123e478cb26e249f9035619b593d8212852e984721b83446da625a07cd5c0cc42cb30e7ab25f4be69c6f880368781274d|An oriental woman is holding a microphone.
043f45f2351e53302d1a3b1bc22f4acc3d591b46b92e22c2f134fc600eb5a97f5800d4f784bfeeb306d50146eb427a3b0c6f3f849176eed846df5245b9f33372|Having a nervous breakdown.
0154a0cb1ed0b38732556317ddf05e89f18e49d70b72cd6a1a293628ea2f7466db56a3904e2a03c3780d129a792d44c3ea5ddf41b65e40d0454b4801ff94d0ee|The wise man may change his opinion, but the fool , never.
04c2b5ecf4f51c176f34c4d45515e86910e56207db0829dd9dabccdc868b7b41a65cc28ed7da5f51261368f9c06409bd4ba7ad1de8aa8215b61ea4e7c5d2a036|When he saw Henderson in his garden, he called over the fence and made himself understood.
0256a3c071dc240d2d8f30630662569fbf43bd0eaa06973572db87fa5dcea7877540c3ebbecae94a05fa7191e807147bdd061ec99ec261034b8450ad2f0d7fee|The boy knew, and was now working toward it.
0333e1566f7084fe7351547982fd2d3f5aca779886a0b026f33ac504788c85c677331f248bc4779d153b0972c4e38953e0a46e502196c693ce14024511bd7e44|I can’t understand it.
04e679d55ba60e0818283ae63e01d1f6a2e32ddb851a155dfedcb029f43b6558435f46e29df9d2b67d39b63dd1f9ac5b61ddb0d115768b94a38dbda4c2151101|She looks as though she's going to come to.
05725f608096cfbf4766641746dca228af14a5224a3a64cc176f50204b8af8dff911c0377766399eebcc146660eb5b05a9a7daa518435166f09d231d28a02303|During one of these conversations, the driver told of his own life.
02636d5e555b61b2ebfc207cf96292da3124612d3e7e57003af761d485b63f40ac404770bd2708caab6219c2f17a2f19c74d6abb15ed3cf11eae8ea2f384a6e8|The vast space stretched into the far distance.
04475c3a9fcba0e6a04f54ecbb07b497d4e1764995cfa2a2f7de91923cee444843b2a90d9dea0c195bb62e03cd46890c36ff7198390ae7a22bbf4fc02a9ef22e|Lighthouses in a foggy world.
02a97637cc7630e76ae8592f7dd0a4cc8357924aeb0a1b692c2c9ecb47205521eab0679712120bde57c0e7274ee7d8513bc22524b1a8107daa88c29a96d7e512|An elderly woman serving bread to a man and a woman dressed in blue tshirts and light brown pants
046dc4b7330e58d79e44c8a180d5c12398b1ff616adeafbc744ab0168eb9f27335d9a52e5da4b157fb0426bd77654126512ff0025eb5a5dd708b0aa7d5032127|She's just about to close up the library.
0516bf023b72a047e080710fe4cb1e95991a683105731f9ed308e15f759f19523058fdc305460ac1d93660650352f283c2af2ba0ad52d144773951e7b7d669d7|Technically, breaking a mirror is not five years, but seven years of bad luck.
030f4939a72ed1cec6e4340f32c2d9e2bc373d3ffb0eedbc0acb2c648d80853e51afc2f3df5d8f0ee3a6e00ee30e29b2fab1caf106cb61fb776e68df3473f93c|How strange Africa is, thought the boy.
022562c6b0401cf3e5ca8ccbfee4ac46dc91346a9c569b65ab23719c0a829be38de5ad03131da532e4612df6fb84fdda05195b7dabb7c2da3d600528afb0556c|Who is your father?
052a0ec784c3aa926d8286e53b82c48854a6460fbbb6bc4bf1700d1dad4819225b7febfdd91dfd404395fca8aecb94bd22eeb6c3ed4f76cbf5d3654ae383eda6|Parents should look out for correct grammar and pronunciation when speaking to their children.
019358444266769d74e5e10c2a0f2f7e3a939a1932810babc51c03ec9875074ab3c8da4300924df10cefa52307181435662a4bb95ab156b40b2292156afb08ff|It was starlight, and I explained the Signs of the Zodiac to her.
006c951ac598f38d81937fcd6b47efe8711ae53de2bec762ccc584150110731d878f83c88794d3eca1a1e644c8c94747f527a81435984ec80ccfbaad6e730144|Maktub, thought the boy.
0500e5f34fbca585ebe396612182330b4690f3c85aeb08a222458cdc8238b7b13fe7c7261217d72142ea45daafbf027e359abb4569b42574d524cdf3388b3753|Everyone should have the right of education.
04c34280fbc768609f91657f53abed557e0171c51ce16e6cf74a26565a72068b351540322c02616bb7292ed8cab1fa89ff06c4b753f05333323789c73249fb26|Wow, the stroboscope effect on the ball is really astonishing!
027dfc21b2bb91c913018be53f10a080337e7495339af29cba207e6617f97f8e4263206587ce1f3f075e8f20709b29fef2e0a9951f106061e7b1cf804a574cf1|Lovers kiss before they part.
0017cb9ae0e95f6708f06fcec9f9820b7672d2d5ffd7102b383f934695807b2a2e6aabc44408c0be39f2f63f115ce9810a2351aa0ed2bcb284b72def6ea5d7f4|It was glaringly hot, not a cloud in the sky nor a breath of wind.
036518d64bf725b700279fd7a0fe08ebe13b89851df98f69865cb37cb9d8fccda9611c9577f0dfb1cd3037cda4fa42eec7ff04e1ac443ad36dd7a2616e401e05|I should say not!
0266f5d88c9adaf3605ad64369b4c9b476b658d358f6a2b32631cd3ddbc7f0d089aa6f4d2cb3e4e726c0d46ea77c88ce06025fec823181bf71fbe53a1abffecf|To read more about my story, check out my first post, Adventures in Hands-Free Coding.
001b3cc4bc9592f56a51ab20697c504b97b718c283f9e4af9dfcf3a199206b24c18733c6d6200c9de5ef2dcb7430729c287dfab7f93de84a1f3f9918880403e5|A man is down on one knee playing the guitar at a show.
04ab0d72da0131a31330f91464dc95848f65f63286fc2732c01e4a61eae37c0efbab32a983ee2ee3a0f035b6644d50f121ac48b5cdcab8babd1d7729fdee7902|Down below in the darkness were hundreds of people, sleeping in peace.
028346f3c1181e081ae5bb9a13ab57446e7d2440d765090f072609f7330f8119eb40c1c228b268459eb33becfab3b69ce4ce6c06470a49be3f639ce9c4636e78|Think I'll go home and see what the family is doing.
0580c1b3ea068f49b5b578ca9dcc0a4e83948209834c4708eab6e7168b6ff28b16e0d662e41c0931dc3e465b1ee31c090e9ef02762f1faf337dfc06140719f8f|It looked like a rusty gas float.
04588b05eb32a66bb32af8ab81b6eeb70a62717cbb3e3826f72d33c07525a3f04cbcddf649469da36861c859145dd6ee0b9b24237e62251434d676f0b0c39e9a|How do you make that out?
02b635bb208c0ebbad72e80466247acabed8e9e54bf04f8349f91594ff55e9d572744c20cef3a5b5192ec568ee9a0b17425c8b7753fb56451bd07728405b0aaf|And better still to be alone with one's books.
03dfde128bf0758360f3048c30a6d3b98a218c012ce84fc515e85ee7779e62c53484c7f7e0f0b5f69098c8f1f7eb58ec02166346316f07ffb2d644bff2d3ea56|It was glaringly hot, not a cloud in the sky nor a breath of wind.
01777d534944a892ea2e031c89c6735b09de5c60cdd2899250e079295a5224f1677982a32f4d848c9bd8d7ce64724a03dbf541a1012644fe1a83e3e7daa8bf72|I'm getting Trevor ready!
032dd8da57dc18b5324abebff709a66d86bcda7bc7f37c31598a1e9a8a5cbb01d63ad4c429a6cd7a81187f695bc484e2a19d58a05ed5f2475b4ef28d615153ea|Learn what you can and move on.
02af41d215cb7ab2d187d5152e4f6e6ad1ad38e4f689fcf7bdaf9e348352e25e901eef62a3139d93871f77b3686ce300759160116397214e13ad9c6b14a2517d|The night was warm and I was thirsty.
02b0028ca8a550232ab2bb6df7009b786822db43ed9e1834a5aa48b81b403d3788878abc93b3b98929a4fa6d6f24974ff243d841832323138116bbcaee737524|This November I had some pecan pie.
00aefbdf3217dd1db68ebdbc2969c6f1f5e7da6135c15e1497b1a566cb8164750c31fb72700243e9e786684637a7b207301961bc49511c8bb375a30794b8e09f|You can't say that about my father!
03c94a39c01cceea2ab2c5321df7bb2944b11969fd4f630d1cc1b8d2a4841008d4029d304d950e9794b117710a31e6c7e7cd9452dfb425f624b2b6b497143e6d|"""It is I who dared to do so,"" said the boy."
02ed62cca1ff7e81675fc669c884eaf7d6abd84040f86154c49125940b3311c51f31e279d84dc675e0493ce313dc4934f2d42f7796db0af951c79e68ab4b60d7|"""But I'm going in search of my treasure,"" the boy said."
015da296e808b9d1e1fbb62786e1ac4101cdc21a5d7f91780d42826f0f7f426ef075f6f0bae8d9cbb9c7cc3e2162e48ba6afd0637b6bb4f577cbe6b3057afc0e|A musical note sustained to its full length, with no break between it and the next note
0133222514c2819a2e3077109545dcde6d52aa1530869e3f2b8c64104e49cd5696f85eb04c62d04a3b3213c845fa36f7e9f6c88169989ae8c80f7347eb26913d|Can I get a woot woot!?
0428eee0ad0c2f8a365f9ffa581c7934d9b7df0e7b884e551515f59f272fe34caaf419e0dc9976f5e4d8322c3f219066722848202d4a43af20c6bc116da845af|Possession is nine tenths of the law.
04fb1b8f8190f73cb749d14e67285f93e7ee50902149d324992e51886710e9e3c44ca4e00088b0b356b0b12400792281d07e45e272dd3af7188f72a010eae678|I have it here.
02e8fca57fd4622c3a77ef157fb7eefef9704b90988c1ee11a34586629c3d180132c6957735c1378f8ddb9a3a92ea0dc27ec9553ce5264f8d65f40b50a16ac7e|It turned out to be a bitter tea.
04d5cc7fa33f7d23bb3d49ffd9d4cde469fb5103656439b7fe58ea5c87ea46b7eaa2e439243e4c71710f3558d1b4d54c5dae06cc52cac2895e3c9bb8c4cdf7bb|I wish you'd let me help you.
0238573e6f9680751ef5aedd27ab26a4b242c00ff1f6b69f3d2d02f9c2a91cfba851960ef0a4d702b0a35f6ecc727f6793b6a73317e596e42e6ffe2c3802f3b4|Must have been a pretty good pitcher.
025b281b4615b3aaa5a5fedc3d40ee995f8e6eb037022e9593a4415f4f4511408c8f47fd9f0dcdd617cd020f451a2f84bbc004af0ad64282bc507dd18d349eb9|The whole town's in an uproar.
003df76cf66536b880d9140ad937ea00f05ce319201552a372a99983b31419955a7021fe7de8184e42dd992512d9e94b9c7d61404effe1f26d15b496b39b4e43|Before the boy could reply, a butterfly appeared and fluttered between him and the old man.
040889197b67979a0d57610474f390d836f19fa62c600f9b3c14dacb9ab0e4a5a7eb9aa3a437f7b74b614350490181da6b9c415ae12fc95c1f33bc20c1d1d2a7|To err is human To forgive divine.
0310df1734342f20037c57cbc462745304de237660408d61a415e3e17138a07550e65469ee4a90985534ef2e9f681adfae02315ab9888fdaf691caa19fc66cb3|To do that successfully, I must have no fear of failure.
04ada47da8de4adc03f3074a2a36a069439814e70a720e122b0ceed107726dccdf08647ed126022bc782a87ae124e7f4baf6783104b6a0fbb47b1deaeca22d88|When you play cards the first time, you are almost sure to win.
01f513f195b3ca7d5a06264da745c2f790630c4aa143d19673d333046ddedacb2012ce7d59a4d2d31f363b78e7adb095361c3d0c3216401503d1d562d39fa846|a lot of patience, but shepherds know all about patience.
008afdc722c0013b5096f58c361e014c29c1f1960da3c45b379ae020316fc1971eade29a138acb83ede09b698e090ad0fd40c8edbb82acff1084d1365fc2cb8b|"""It's the Emerald Tablet,"" said the Englishman, proud that he might teach something to the boy."
01fa35226a36f3cabdf8b1045524a29f5f3dd0043c216faaaa95fa1a77c79b2e35716b7eacbdcef4fce7f84c44117330677a523a77ebc1fdac6e8500104943b9|Penny wise, pound foolish.
010838fe1ec4587928cb53bdbd56a9c104c9b7d9cd2766751bda22d827a4abc89bb07c553ada0eaa39e17ca182d0b5ec2078021fc249830a71218fb9ce070896|Ronnie watched in horror as the mirror transformed.
01cc650614bb169d31b551f3d82ed82d7d002ae937a7fd7e020deb00cc9dc1c43dcb480e7b0cc95fb3d9fdcafa545cf880da1a694ead1d97e00aa5bea61361cc|Five men in suits.
03afe45714306b432bda467db29c8b81456016e0fadd2e8b296a145ebb5fbf33b934eb36c1d2a4a6c3f422ca10ac361866938561eb322cbe07cfa6cc4f1543b1|The shaking disturbed the rat nest.
02b5263686489e7aead2101d3ebf872271c1b4ea2e830940f6ff51d18ab31929b4abe350955a9723841cee072f08b51873d2fcb083873338254cfd37049ecb55|My review of the sun: one star.
056defca0531436c7216e29c480d3fd92e0cdd1370a2e29eda06a346f3cbe0662d5ba9a0793618459d642ca187fd4d7c97b7ed5a7987847825b9b941ca8492be|I got drunk yesterday and thought I built a super computer.
003afb754ea9f28b6400334d3c75120a4b8e9b105a9b6d7b25ebaa859eaefb8991f9a72d5048a2a13af1c4e4c4c35536c10cc00aad80b9f3cbdb889f8c88e8d5|The boy was shocked.
0103bfbd93985cf3b0cce872f24794c0d56485bcce8c6484d5e10a5a474efb5b3644ba104c7d31c76753f756d71ab1cf233162928d5dd362b6ccbd5341049b0e|He noticed the unequal cooling of its surface.
0183a51842b197531b127a733cec0afb9731bc0bdfd30aef6025678b2f6a4ddc54d3f4ae28b72e653b877a8f834a29f9f3d65f24322821549b741c62807a3de6|Where are you from?
01e4bb92c92e1ef179a1b848a1777b10333193d4337b78f5b70b4c14e53ef115586f836bd5b32235b18fdf43be9ac5e4ecea5c3763c1c89aabfabb5f7a7264f6|A group of individuals conversing and drinking beverages.
00a0a784708de1fb52bc82cdb9a0d101ac75657aa0532ce9ef149a8584abb7da44776b143a8aa315ba7a2f2bff0455ea10aa1cedf8cc27fc62b5348769e1ee4c|I thought about the difficulties in translation that might arise.
02f05b18b1e418b4369ba36bdf038c44bda872e5cf9d7da176eec1958c62774e9e8171f9fb5abd161d5f69a88b9f740abce6c098e7d1505d3a05784a59875d7f|All who went there were happy at having done so.
00f7fccd8870457ed4c1a6e4588b5e99d2d6e7a99e5468e66f82f4053525a5af49c394b0773bb226590b47eb06433986b5146621187a242dcb8f3504b871853e|Henderson was taking it in.
0555715a9136225bb8d30fe8c05f7f0db2c16cef95c2a601bf94683ba61c8cf8179ce7c694f6dbaad30688e98a7cc8956778efb5a5e112f2fdb569ef1dc4a652|He thought of all the married shepherds he had known.
04dc958c5330c3a248364aeef0b158ade7b113fd7cd8086b22f07c111283ff2a23395fbe57e971dc36b644014613454ceef2a18c82c926abca08b75a41222631|Yes, it would be.
012273ee954e68cfb7c05aeae2feb8582c27972caf2b7e826b98c310ac09c930a99a645d27e16d89848dd58bc37437a685186e06ec79660e15c9362b80ed6d43|Theresa couldn't feel any more dumb right now.
028a594083b30b8a88529060fc28e450367006cbe184163f53a148d51dfdd12fc12c4c284e5a0c76c6b17e2b2ce5cb444defc5f2346cca74c62fd95ce3f36c36|The end of the cylinder was still as Ogilvy and Henderson had left it.
0257d8efd80ad8d20d04c078df881f25e94331a2738d1fb8c6ede0a47778f1ddc262b3a9f206d6ac64c32afd3296656abd0a3166b3ca23a8a49dea6730b57146|It was his heart that would tell him where his treasure was hidden.
04f4497a384166161d2fad882a8bfa00ec11db86b730c7e0b298ab8466c4fe9d84d0046fe22f42b1e044bcad813ce49f653cb1f960d5955f3430b9e65ccfe6f1|There, the alchemist separated the disk into four parts.
0479744656c659d6dad140cbedb86d3702fc9a6305ba80aa88c18692d9e9bac19845a712b8900fa853df8e0daf5b3aa96dbc38cb6c7cb63e072c9aeaab5b82ac|My friend Murad is coming in this weekend.
01d3195bf3c8fb5cecb999ea56df1972272dbdb8dcebb3501a5998ca3a7b41b0399827a630c5040657dd5e33b64f9cb4006bfc42cef2a126b23a0310f4fe3be4|I'm afraid you're blocking my view.
0166d5b053b8b2b65f79d13d393bd66416823c5b6f33ec503aebcdbd2ede2f16a6624b598eb8cc71bc0c0defd0932e35c4fed922e0f9cbce7c40c0d8400bc2c2|If you see something you like, take it and make it better.
055cb8f2e70cfea13b2e41544535531d88e7f19f7487285bbacbdd3a1cb832bd6ee238dc24fcaf5ddb9541499854526a4aaccd22466fbf533fd63bd93ca8058c|Let me comb your hair.
01371c61152e3dc29fe23d87384a44fd323ec0c40a6e370bfb411ab3e0703350f6fe19ae1a077bbc98f6f8415ee6b0968f15c28b3af800ec52ec00babf16f09e|There was nothing to hold him back except himself.
041400a1c064665beb412830c377dc24b76a6131737d541605214a5e45728683b35c88fb288f410498212db5c6a4b139d06e92f915384991da5205e966f36207|I think they perceived that nothing was to be done at the moment.
00e1c7e3864a925b0e8468a7542f99ce2e68f065e54337e8c097c33264e8b6e38a5968f3e069ae76a791e3bc7ba57061ce4e5a37b5259b4c20375735930d0779|In some places, the ground was covered with the salt of dried-up lakes.
030735c601cb6866a6f4cc489a6d3603a4446400dfcb1484210a1b519d834a6b5397ca3c15f54c52156958a20dd0885bc26e9deb3964e7d12fa858a587eeffaa|They don't see that the fields are new and the seasons change.
01406681b70c503505f01724743c4fef7eff111b92b5c9168228702157112122deaa0d1e9da3bb2bf7667239808b80594d8381ec262eb474c14f7d824992dc12|A boy came running towards me.
0528971156574d767575c4aa9f308afccd6ce0b2dba6b7578a4e9e33ce6f2b005257ed7cd3737ce09a08f55a21e5a7a9aeccdbea20b1d3c3e30685ea916f55a6|And he came down after the game with a contract.
04a910be5b8eb37809316737dfd3c6067461847e4fb34fbaccfb8adeb29024c3f88024b44abc853c8fe03f8655e1c527603825944c4addf694ffdf861516fc56|But as he saw them lying there on the ground, another phrase came to his mind.
02e64f2d1b718c7b6b8de12c701c903016d13dac98dbd2cfa3840cdf62575b07f9b69d5365c1d66bbe6faf65485a82923483c88dc1a9b569189e6d85ea5c2bdc|Take this pill twice daily, once in the morning and once at bedtime.
01c6e4003434d74989a8a3a695b2d69518673b10345fe4367511dd1cb3e8ebbced4f03a4b6d33a0537f3044f45545deac4019e09cd4fc22d08eff8e7e1a8be08|It was faintly marked with transverse stripes and slightly flattened from the perfect round.
00d991487986e7f2929cf042726f1812b3267afa31c17a10350ba8687cf88959fa48cd2cba4ddde7e455064e56aa9aef77f87e2cc8c20d98a5ac4c665989be20|have trusted more in your love for Fatima.
035dd8aec256b49affbe4737aacf50915cf8629411305b9abc5ac32a1e69063e34d708cd06a6d526d6f09a35ad4a0420ce01d161661a965880a6faa580e85475|After two hours, he returned to the room where the wise man was.
03ccfe3d8e3e5f24f0e75dd66813ea8b973f6a3518a91bcd4d8bf0290866079a31b5c2220c504547352072de28581ec01551093f303cfd167fec3ea4c5832342|Dull stories make her laugh.
01288917a8da0c791b57240b10c467cd0e90adde1a0ca3ae217ad854ee989f0be4685ab592f79609c49d2b7ef8a9eb9ee61eb7dd0959fc97d55503137e768cf5|The miner had abandoned everything to go mining for emeralds.
02c06e55f24e421899b616a230e2dcbe8e342afc66eea6189e530cbf58d4fb772dac8a24feb0b9802497e56bea3d808f5f7555e7a9665b2f7d0fe89024ae687a|Why there's oceans of room here.
02e50106a4e5f0fd5a31c68fe7fb2c58cb5ba6e9d74b20de5dd653643170677911915922e1d739b1b31c16a0508f3564f98747cc6709467ea8f6516b62003bb6|But in his heart he knew that it did matter.
000b1fc02cf8928b9cc0c23168a4ca606861765e087f00e32f2aa034ef64ebb9ffd31ab5f02b34f66eb1a4249096f3732cf8249599905c8dc4ad91ea6e57864f|How can we obtain a priori knowledge for each individual?
03d142057dd29fce8efd5c99bcecdccd433565f4c9438b065dadbd0d05ed22a1f3cb5c8d689a61e27a631294349fe6da706abeb210f814ab425556eb9556a1f3|Don't rely on the label on the bag.
0542617fba9070e492a6cca8782987656080131f9900f082ce6763bd69b64d41cab1151cf05864a8ea7f37aab34c75f2a87930ba28ff159b8ce45de08ad12040|Monkeys smile when they are scared.
0473a414d89574388286d36a9f7a35c88bfde6c8e1fe2c462d21a61018c454111c021d86e3a43943bb19cbd338746ca607b911fe88e255abd45fc2eebb04818f|You must understand that love never keeps a man from pursuing his destiny.
05465cfb73cd3649593530c2bea2d53f5d9efc7e516aed4dd64824689ec8f5de12244fe76975c08a8b4fc31fe9b5b87c606a42ce6d19dd6fbf7abf1b394d8c4d|It was something that I thought could happen only to others, never to me.
001f94f77b7c85a7e6ceb3b55a8a8e18e217cccec13ac262f6e8f6a5c0a174c437aea1c4c789fdd67dbf070e76bb4f0a7971b695429a3121a2119f2aea86b9f8|It was a a kind of fascination that paralysed my actions.
025203484e4b5961dbf7452f9dc249cd4fead1335a6f82f1a55b7616bbbf9922e7a9e8044394253599ab3e4a5c845c1229a0bf1775d4690f9dd323d370913299|Oh, to be sure!
01f460b98d9bc384e1054d56983a06717e86e21902a7ddc709ca0ffb6040694f21fde4b7f437314d6db7230293dd9288440476ad8a59e97aa5eff322d907a2f4|You'll ask me to what?
00bebe15bb67f01d51aca6623a0f099fa92a7bbc9e2c9ed0c35305408c7929c2258222492bf8222a8a30abd378b0e5d5e287702f36411c4f3749f101344ebbdf|A young Arab, also loaded down with baggage, entered, and greeted the Englishman.
